sample_id	sample_name	raw_path	region
"DA474_ASAP24_PD_NP16-25_AMY"	"DA474_ASAP24_PD_NP16-25_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/ASAP_Project_Raw_Data_pt2/seq134B_135_137_139/fastq/ASAP/DA474-ASAP24-PD-NP16-25-AM-Seq134-12"	"AMY"
"DA512_ASAP60_ctrl_NP19-45_AMY"	"DA512_ASAP60_ctrl_NP19-45_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/ASAP_Project_Raw_Data_pt2/seq134B_135_137_139/fastq/ASAP/DA512-ASAP60-Ctl-NP19-45-AM-Seq139-4"	"AMY"
"DA778_ASAP31_PD_NP18-117_AMY"	"DA778_ASAP31_PD_NP18-117_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA778"	"AMY"
"DA779_ASAP33_PD_NP18-287_AMY"	"DA779_ASAP33_PD_NP18-287_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA779"	"AMY"
"DA780_ASAP37_PD_NP19-16_AMY"	"DA780_ASAP37_PD_NP19-16_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA780"	"AMY"
"DA783_ASAP45_PD_NP19-255_AMY"	"DA783_ASAP45_PD_NP19-255_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA783"	"AMY"
"DA791_ASAP50_ctrl_NP18-159_AMY"	"DA791_ASAP50_ctrl_NP18-159_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA791"	"AMY"
"DA793_ASAP53_ctrl_NP19-36_AMY"	"DA793_ASAP53_ctrl_NP19-36_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA793"	"AMY"
"DA800_ASAP20_PD_NP16-160_AMY"	"DA800_ASAP20_PD_NP16-160_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/seq163A_164/seq163A_164/outs/fastq_path/Seq163A/DA800_ASAP20_PD_NP16-160_AM_Seq163A"	"AMY"
"DA801_ASAP53_ctrl_NP19-36_AMY"	"DA801_ASAP53_ctrl_NP19-36_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/seq163A_164/seq163A_164/outs/fastq_path/Seq163A/DA801_ASAP53_Ctl_NP19-36_AM_Seq163A"	"AMY"
"DA802_ASAP40_PD_NP19-23_AMY"	"DA802_ASAP40_PD_NP19-23_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/seq163A_164/seq163A_164/outs/fastq_path/Seq163A/DA802_ASAP40_PD_NP19-23_AM_Seq163A"	"AMY"
"DA803_ASAP48_ctrl_NP17-256_AMY"	"DA803_ASAP48_ctrl_NP17-256_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/seq163A_164/seq163A_164/outs/fastq_path/Seq163A/DA803_ASAP48_Ctl_NP17-256_AM_Seq163A"	"AMY"
"DA805_ASAP56_ctrl_NP19-37_AMY"	"DA805_ASAP56_ctrl_NP19-37_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq163B_165A/220502_A00681_0661_BH5MG5DMXY/H5MG5DMXY/outs/fastq_path/10X/DA805"	"AMY"
"DA807_ASAP29_PD_NP17-191_AMY"	"DA807_ASAP29_PD_NP17-191_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq163B_165A/220502_A00681_0661_BH5MG5DMXY/H5MG5DMXY/outs/fastq_path/10X/DA807"	"AMY"
"DA811_ASAP18_PD_NP16-140_AMY"	"DA811_ASAP18_PD_NP16-140_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq163B_165A/220502_A00681_0661_BH5MG5DMXY/H5MG5DMXY/outs/fastq_path/10X/DA811"	"AMY"
"DA812_ASAP43_PD_NP19-108_AMY"	"DA812_ASAP43_PD_NP19-108_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq163B_165A/220502_A00681_0661_BH5MG5DMXY/H5MG5DMXY/outs/fastq_path/10X/DA812"	"AMY"
"DA814_ASAP35_PD_NP18-304_AMY"	"DA814_ASAP35_PD_NP18-304_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq163B_165A/220502_A00681_0661_BH5MG5DMXY/H5MG5DMXY/outs/fastq_path/10X/DA814"	"AMY"
"DA815_ASAP37_PD_NP19-16_AMY"	"DA815_ASAP37_PD_NP19-16_AMY"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq163B_165A/220502_A00681_0661_BH5MG5DMXY/H5MG5DMXY/outs/fastq_path/10X/DA815"	"AMY"
"ASAP122_PD_NP19-91_AMY"	"ASAP122_PD_NP19-91_AMY"	"/path/to/backup/ysharma_fs1_jjlab/raw_data/Undetermined_CTG_2024_063_SNSeq_ASAP/split_output/"	"AMY"
"AA_ASAP120_PD_NP16-285_AMY"	"ASAP120_PD_NP16-285_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"AMY"
"AA_ASAP121_PD_NP17-232_AMY"	"ASAP121_PD_NP17-232_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"AMY"
"AA_ASAP123_ctrl_NP19-218_AMY"	"ASAP123_ctrl_NP19-218_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"AMY"
"AA_ASAP124_ctrl_NP22-37_AMY"	"ASAP124_ctrl_NP22-37_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"AMY"
"AA_ASAP125_ctrl_NP22-75_AMY"	"ASAP125_ctrl_NP22-75_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"AMY"
"AA_ASAP126_PD_NP19-137_AMY"	"ASAP126_PD_NP19-137_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"AMY"
"AA_ASAP128_PD_NP21-04_AMY"	"ASAP128_PD_NP21-04_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"AMY"
"AA_ASAP131_PD_NP23-21_AMY"	"ASAP131_PD_NP23-21_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"AMY"
"AA_ASAP101_PD_NP21-57_SN"	"AA_ASAP101_PD_NP21-57_SN"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP101_PD_NP21_57_SN_S9"	"SN"
"AA_ASAP102_PD_NP21-208_SN"	"AA_ASAP102_PD_NP21-208_SN"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP102_PD_NP21_208_SN_S12"	"SN"
"AA_ASAP103_PD_NP21-217_SN"	"AA_ASAP103_PD_NP21-217_SN"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP103_PD_NP21_217_SN_S15"	"SN"
"AA_ASAP104_ctrl_NP16-119_SN"	"AA_ASAP104_ctrl_NP16-119_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP104_ctrl_NP16_119_SN_S13"	"SN"
"AA_ASAP105_ctrl_NP16-293_SN"	"AA_ASAP105_ctrl_NP16-293_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP105_ctrl_NP16_293_SN_S17"	"SN"
"AA_ASAP107_ctrl_NP17-216_SN"	"AA_ASAP107_ctrl_NP17-216_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP107_ctrl_NP17_216_SN_S28"	"SN"
"AA_ASAP108_ctrl_NP18-148_SN"	"AA_ASAP108_ctrl_NP18-148_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP108_ctrl_NP18_148_SN_S22"	"SN"
"AA_ASAP118_PD_NP22-55_SN"	"AA_ASAP118_PD_NP22-55_SN"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP118_PD_NP22_55_SN_S34"	"SN"
"AA_ASAP99_ctrl_NP16-284_SN"	"AA_ASAP99_ctrl_NP16-284_SN"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP99_ctrl_NP16_284_SN_S3"	"SN"
"DA429_ASAP1_PD_NP16-162_SN"	"DA429_ASAP1_PD_NP16-162_SN"	"/path/to/backup/ysharma_fs5_jakobssonlab/ASAPProject_RawData/Seq093_Batch1_Oct2020/ASAP1_PD_NP16-162"	"SN"
"DA431_ASAP4_PD_P74_SN"	"DA431_ASAP4_PD_P74_SN"	"/path/to/backup/ysharma_fs5_jakobssonlab/ASAPProject_RawData/Seq093_Batch1_Oct2020/ASAP4_PD_P74"	"SN"
